********************************
1. MODE
********************************
mode	cnum	inum
刁…古…	2	刁决古嫶,刁钻古怪
言…足…	2	言以足志,言行足式
化…合…	2	化学合成,化石合剂
以…害…	2	以文害辞,以私害公
紧…密…	2	紧锣密鼓,紧鼓密锣
识…才…	2	识多才广,识短才长
网…学…	2	网上学校,网络学院
富…天…	2	富国天惠,富埒天子
倚…偎…	2	倚玉偎香,倚翠偎红
工…主…	2	工会主席,工团主义
身…百…	2	身价百倍,身经百战
基…医…	2	基本医疗,基础医学
来…之…	2	来临之际,来苏之望
风…套…	2	风暴套牌,风鹰套装
两…人…	2	两个人都,两重人格
丢…落…	2	丢帽落鞋,丢三落四
倚…挟…	2	倚势挟权,倚官挟势
负…忘…	2	负义忘恩,负恩忘义
鬼…头…	2	鬼阵头风,鬼鬼头头
適…任…	2	適性任情,適情任欲
遗…之…	2	遗产之心,遗骨之穴
不…为…	2	不相为谋,不贪为宝
名…无…	2	名下无虚,名花无主
实…工…	2	实用工具,实际工资
开…明…	2	开宗明义,开心明目
魂…神…	2	魂丧神夺,魂飘神荡
寸…难…	2	寸木难支,寸隙难留
设…方…	2	设计方案,设陷方式
发…施…	2	发号施令,发政施仁
罕…寡…	2	罕言寡语,罕闻寡见
遗…去…	2	遗名去利,遗形去貌
矜…自…	2	矜功自伐,矜己自饰
辱…败…	2	辱身败名,辱门败户
保…持…	2	保泰持盈,保盈持泰
青…乌…	2	青衣乌帽,青袍乌帢
保…机…	2	保险机构,保障机制
式…之…	2	式好之情,式遏之功
肌…理…	2	肌劈理解,肌擘理分
殚…毕…	2	殚智毕精,殚诚毕虑
红…翠…	2	红衰翠减,红飞翠舞
正…危…	2	正色危言,正襟危坐
拯…扶…	2	拯危扶溺,拯溺扶危
蝶…蜂…	2	蝶使蜂媒,蝶粉蜂黄
青…素…	2	青女素娥,青霉素类
绘…绘…	2	绘影绘声,绘情绘景
众…如…	2	众口如一,众心如城
满…满…	2	满打满算,满谷满坑
横…顺…	2	横三顺四,横打顺算
违…负…	2	违乡负俗,违恩负义
李…桃…	2	李代桃僵,李白桃红
诸…百…	2	诸凡百事,诸子百家
学…论…	2	学术论文,学校论坛
娉…袅…	2	娉娉袅袅,娉婷袅娜
鸦…神…	2	鸦人神殿,鸦爪神符
闲…休…	2	闲事休管,闲话休题
布…古…	2	布拉古尔,布罗古斯
青…护…	2	青藤护腕,青衣护腿
不…底…	2	不明底蕴,不知底细
全…优…	2	全国优秀,全局优化
求…不…	2	求善不厌,求索不止
专…独…	2	专擅独断,专断独行
半…之…	2	半途之废,半藏之剑
局…扣…	2	局地扣天,局天扣地
牵…挂…	2	牵四挂五,牵五挂四
九…人…	2	九流人物,九等人表
轰…烈…	2	轰天烈地,轰轰烈烈
怡…理…	2	怡情理性,怡然理顺
同…而…	2	同盘而食,同舟而济
割…称…	2	割地称臣,割据称雄
斩…揭…	2	斩木揭竿,斩竿揭木
心…不…	2	心照不宣,心口不一
损…利…	2	损人利己,损公利私
沉…顿…	2	沉疴顿愈,沉郁顿挫
蛇…蚓…	2	蛇灰蚓线,蛇蟠蚓结
八…五…	2	八十五章,八门五花
好…善…	2	好言善语,好谋善断
辞…俱…	2	辞泪俱下,辞色俱厉
居…虑…	2	居安虑危,居常虑变
股…分…	2	股权分置,股票分析
人…成…	2	人多成王,人工成本
敛…待…	2	敛手待毙,敛翼待时
乐…不…	2	乐祸不悛,乐乐不殆
山…钟…	2	山崩钟应,山林钟鼎
海…基…	2	海军基地,海外基金
道…志…	2	道合志同,道同志合
中…不…	2	中留不报,中立不倚
有…而…	2	有感而发,有托而逃
临…应…	2	临床应用,临机应变
坐…车…	2	坐在车上,坐无车公
若…意…	2	若干意见,若无意中
迷…之…	2	迷茫之羽,迷雾之海
日…时…	2	日照时数,日许时间
动…规…	2	动作规则,动态规划
双…双…	2	双增双节,双宿双飞
缓…之…	2	缓兵之计,缓带之思
阿…伯…	2	阿尔伯特,阿姆伯尔
抱…握…	2	抱玉握珠,抱瑜握瑾
有…生…	2	有害生物,有性生殖
改…归…	2	改土归流,改邪归正
女…之…	2	女娲之石,女流之辈
浸…之…	2	浸毒之刺,浸润之谮
悦…娱…	2	悦心娱目,悦目娱心
人…主…	2	人事主管,人大主任
耻…人…	2	耻居人下,耻言人过
倚…之…	2	倚玉之荣,倚马之才
冠…履…	2	冠上履下,冠道履仁
镌…铭…	2	镌心铭骨,镌骨铭心
自…价…	2	自我价值,自由价格
银…素…	2	银妆素裹,银瓶素绠
长…先…	2	长尾先生,长蛮先锋
已…道…	2	已归道山,已登道岸
撞…冲…	2	撞府冲州,撞阵冲军
乘…不…	2	乘敌不虞,乘乱不祥
可…而…	2	可想而知,可烧而走
礼…义…	2	礼轻义重,礼门义路
乌…黑…	2	乌天黑地,乌灯黑火
乌…巴…	2	乌兰巴托,乌焦巴弓
气…胆…	2	气消胆夺,气壮胆粗
小…未…	2	小信未孚,小惠未遍
戴…而…	2	戴头而来,戴星而出
仙…之…	2	仙子之力,仙甲之灵
定…扶…	2	定乱扶衰,定倾扶危
回…倒…	2	回山倒海,回寒倒冷
感…无…	2	感德无涯,感愧无地
鹤…华…	2	鹤唳华亭,鹤归华表
没…巴…	2	没些巴鼻,没趣巴巴
舍…成…	2	舍己成人,舍身成仁
土…土…	2	土头土脑,土里土气
人…天…	2	人行天桥,人怨天怒
松…之…	2	松筠之节,松水之鱼
米…之…	2	米拉之歌,米粒之珠
恃…傲…	2	恃功傲宠,恃才傲物
潜…伏…	2	潜深伏隩,潜龙伏虎
加…工…	2	加密工具,加工工艺
言…事…	2	言中事隐,言听事行
有…时…	2	有效时间,有的时候
发…振…	2	发瞽振聋,发覆振蒙
南…书…	2	南北书派,南菁书院
埃…托…	2	埃克托兹,埃尔托格
不…眼…	2	不戴眼镜,不起眼儿
威…海…	2	威动海内,威尔海姆
妆…妆…	2	妆呆妆婪,妆啉妆呆
计…虑…	2	计行虑义,计深虑远
伐…之…	2	伐冰之家,伐性之斧
广…丰…	2	广州丰田,广袤丰杀
自…更…	2	自力更生,自动更新
陆…水…	2	陆詟水栗,陆讋水慄
不…资…	2	不变资本,不良资产
以…传…	2	以心传心,以讹传讹
寸…不…	2	寸丝不挂,寸心不昧
高…人…	2	高管人员,高级人才
寻…数…	2	寻宫数调,寻行数墨
名…功…	2	名成功就,名遂功成
文…结…	2	文件结构,文明结婚
附…趋…	2	附势趋炎,附炎趋热
意…志…	2	意得志满,意满志得
大…海…	2	大胆海口,大航海家
三…小…	2	三闾小玉,三陪小姐
瑶…玉…	2	瑶林玉树,瑶池玉液
电…打…	2	电弧打击,电脑打字
坐…不…	2	坐怀不乱,坐树不言
理…不…	2	理所不容,理趣不凡
治…结…	2	治理结构,治疗结界
广…集…	2	广思集益,广益集思
卖…买…	2	卖犊买刀,卖空买空
叽…嘎…	2	叽叽嘎嘎,叽哩嘎啦
贫…学…	2	贫不学俭,贫困学生
豆…之…	2	豆蔻之年,豆觞之会
有…则…	2	有仙则名,有龙则灵
逐…趋…	2	逐名趋势,逐新趋异
航…航…	2	航天航空,航空航天
好…高…	2	好戴高帽,好涵高躅
包…包…	2	包山包海,包教包会
东…国…	2	东京国际,东欧国家
加…达…	2	加拉达尔,加格达奇
用…之…	2	用人之长,用武之地
科…拉…	2	科罗拉多,科鲁拉克
教…主…	2	教导主任,教条主义
发…地…	2	发生地震,发达地区
让…让…	2	让三让再,让再让三
至…一…	2	至尊一戒,至情一往
挥…不…	2	挥之不去,挥金不吝
反…一…	2	反咬一口,反正一样
高…技…	2	高新技术,高科技股
八…联…	2	八国联军,八音联欢
抓…卖…	2	抓乖卖俏,抓尖卖乖
令…令…	2	令仪令色,令闻令望
无…是…	2	无一是处,无间是非
农…人…	2	农村人口,农民人均
统…统…	2	统筹统支,统购统销
秘…外…	2	秘书外监,秘银外壳
联…网…	2	联想网络,联通网苑
三…威…	2	三千威仪,三厢威志
负…投…	2	负石投河,负薪投璧
成…日…	2	成都日报,成长日记
夜…昼…	2	夜月昼星,夜行昼伏
酒…茶…	2	酒余茶后,酒后茶余
乘…之…	2	乘敌之隙,乘龙之客
招…引…	2	招商引资,招蜂引蝶
汤…之…	2	汤池之固,汤饼之会
出…加…	2	出口加工,出身加民
不…天…	2	不见天日,不违天时
资…重…	2	资产重组,资源重复
治…法…	2	治外法权,治疗法术
中…专…	2	中国专利,中等专业
九…大…	2	九间大殿,九鼎大吕
并…端…	2	并联端接,并行端口
菲…莫…	2	菲兹莫斯,菲拉莫格
七…腰…	2	七曜腰饰,七谕腰佩
巧…成…	2	巧思成文,巧能成事
横…侧…	2	横峰侧岭,横见侧出
有…眼…	2	有心眼儿,有色眼镜
巴…罗…	2	巴萨罗梅,巴瑟罗尔
招…不…	2	招之不来,招架不住
一…变…	2	一度变化,一次变故
市…之…	2	市骏之资,市道之交
南…高…	2	南州高士,南方高科
智…万…	2	智周万物,智过万人
声…力…	2	声嘶力竭,声雄力猛
避…山…	2	避暑山庄,避溺山隅
中…英…	2	中学英语,中田英寿
鹏…九…	2	鹏抟九天,鹏程九万
供…不…	2	供血不足,供认不讳
大…分…	2	大家分享,大秤分金
海…酒…	2	海南酒店,海鲜酒楼
电…制…	2	电器制造,电子制品
等…下…	2	等米下锅,等而下之
为…驱…	2	为丛驱雀,为渊驱鱼
饮…餐…	2	饮露餐风,饮风餐露
风…符…	2	风化符记,风蚀符文
负…依…	2	负嵎依险,负隅依阻
老…老…	2	老三老四,老爸老妈
双…一…	2	双凫一雁,双心一意
八…四…	2	八万四千,八十四调
咸…淡…	2	咸嘴淡舌,咸鱼淡肉
啖…之…	2	啖饭之道,啖香之质
易…九…	2	易堂九子,易维九通
开…辟…	2	开天辟地,开疆辟土
清…大…	2	清华大学,清唏大叫
梦…不…	2	梦寐不忘,梦想不到
东…六…	2	东京六姓,东土六祖
楚…巫…	2	楚山巫水,楚雨巫云
心…形…	2	心为形役,心凝形释
尘…涂…	2	尘羹涂饭,尘饭涂羹
徙…之…	2	徙宅之贤,徙木之信
中…收…	2	中低收入,中国收藏
大…特…	2	大书特书,大错特错
一…八…	2	一百八盘,一跳八丈
林…神…	2	林下神仙,林歌神殿
镂…鉥…	2	镂心鉥肝,镂肝鉥肾
天…大…	2	天禄大夫,天津大学
动…保…	2	动态保护,动物保健
安…落…	2	安家落户,安心落意
寡…薄…	2	寡恩薄义,寡情薄意
高…重…	2	高山重嶂,高度重视
骨…之…	2	骨鲠之臣,骨镰之戒
龙…肩…	2	龙火肩饰,龙爪肩铠
檄…头…	2	檄医头疾,檄愈头风
岁…不…	2	岁月不居,岁比不登
神…心…	2	神醉心往,神竦心惕
花…少…	2	花多少钱,花季少女
虚…实…	2	虚往实归,虚虚实实
英…字…	2	英文字母,英汉字典
喊…叫…	2	喊冤叫屈,喊屈叫冤
金…交…	2	金石交情,金融交易
甲…战…	2	甲午战争,甲级战犯
养…之…	2	养生之道,养育之恩
海…高…	2	海岳高深,海拔高度
平…公…	2	平方公里,平步公卿
转…为…	2	转凡为圣,转危为安
不…地…	2	不习地土,不欺地下
瑰…奇…	2	瑰宝奇珍,瑰意奇行
花…叶…	2	花繁叶茂,花红叶绿
蛇…腰…	2	蛇王腰佩,蛇鳞腰带
考…报…	2	考察报告,考试报名
睡…不…	2	睡卧不宁,睡眠不足
毛…俱…	2	毛发俱竖,毛骨俱竦
情…意…	2	情至意尽,情钟意笃
久…伤…	2	久坐伤肉,久立伤骨
石…腰…	2	石墙腰带,石锥腰佩
骑…觅…	2	骑牛觅牛,骑驴觅驴
一…好…	2	一天好事,一本好书
书…名…	2	书店名称,书画名家
不…回…	2	不堪回首,不足回旋
为…提…	2	为了提高,为您提供
通…至…	2	通前至后,通首至尾
人…草…	2	人造草坪,人非草木
长…累…	2	长年累月,长篇累牍
遮…掩…	2	遮前掩后,遮遮掩掩
心…胆…	2	心战胆栗,心虚胆怯
联…下…	2	联合下发,联通下载
近…者…	2	近墨者黑,近朱者赤
必…必…	2	必躬必亲,必敬必恭
钓…之…	2	钓名之人,钓游之地
佛…天…	2	佛心天子,佛教天地
鸣…而…	2	鸣琴而治,鸣鼓而攻
早…晚…	2	早出晚归,早韭晚菘
人…社…	2	人文社科,人类社会
冰…手…	2	冰川手套,冰霜手雷
知…能…	2	知尽能索,知过能改
外…文…	2	外国文学,外来文化
多…寡…	2	多端寡要,多贱寡贵
不…了…	2	不了了之,不甚了了
华…秋…	2	华屋秋墟,华星秋月
欲…之…	2	欲加之罪,欲望之血
封…大…	2	封印大厅,封疆大吏
不…正…	2	不务正业,不能正常
璞…浑…	2	璞玉浑金,璞金浑玉
通…子…	2	通信子网,通印子鱼
日…风…	2	日落风生,日和风暖
衆…羣…	2	衆楚羣咻,衆难羣疑
公…交…	2	公平交易,公私交困
貌…心…	2	貌合心离,貌同心异
军…主…	2	军国主义,军委主席
望…止…	2	望梅止渴,望而止步
机…战…	2	机动战士,机械战场
藏…遮…	2	藏垢遮污,藏污遮垢
笼…槛…	2	笼禽槛兽,笼鸟槛猿
袭…蹈…	2	袭凡蹈故,袭故蹈常
民…学…	2	民办学校,民族学院
百…朝…	2	百川朝海,百鸟朝凤
继…而…	2	继世而理,继踵而至
钓…沽…	2	钓名沽誉,钓誉沽名
炮…烹…	2	炮凤烹龙,炮龙烹凤
改…更…	2	改姓更名,改容更貌
生…关…	2	生产关系,生死关头
公…上…	2	公主上衣,公车上书
烟…云…	2	烟岚云岫,烟消云散
两…相…	2	两贤相厄,两瞽相扶
弭…无…	2	弭口无言,弭患无形
计…谋…	2	计功谋利,计合谋从
中…西…	2	中国西部,中山西路
蛮…海…	2	蛮珍海错,蛮荒海岸
心…开…	2	心胸开阔,心花开爽
涵…茹…	2	涵今茹古,涵古茹今
强…弱…	2	强枝弱本,强食弱肉
民…政…	2	民主政治,民族政策
皇…后…	2	皇天后土,皇皇后帝
每…每…	2	每时每刻,每朝每日
握…拿…	2	握云拿雾,握雾拿云
雷…一…	2	雷同一律,雷霆一击
高…动…	2	高等动物,高难动作
明…易…	2	明枪易躲,明白易晓
校…生…	2	校园生活,校学生会
一…胡…	2	一口胡柴,一地胡拿
彩…之…	2	彩带之舞,彩虹之锤
自…网…	2	自助网站,自投网罗
扫…相…	2	扫径相迟,扫榻相迎
人…测…	2	人工测试,人才测评
酒…花…	2	酒病花愁,酒酽花浓
假…救…	2	假越救溺,假阶救火
亚…纳…	2	亚科纳琳,亚门纳尔
从…所…	2	从吾所好,从心所欲
家…作…	2	家庭作业,家长作风
剖…析…	2	剖烦析滞,剖毫析芒
哈…罗…	2	哈博罗内,哈圭罗岛
论…说…	2	论今说古,论长说短
風…之…	2	風雷之變,風雲之志
学…不…	2	学如不及,学而不厌
叽…哇…	2	叽叽哇哇,叽哩哇啦
五…皆…	2	五内皆崩,五蕴皆空
焚…破…	2	焚符破玺,焚舟破釜
蝇…鼠…	2	蝇头鼠汴,蝇营鼠窥
基…设…	2	基础设施,基站设备
不…青…	2	不分青白,不问青黄
交…价…	2	交换价值,交易价格
言…其…	2	言提其耳,言过其实
劳…不…	2	劳逸不均,劳问不绝
狂…暴…	2	狂风暴雨,狂饮暴食
冰…魔…	2	冰火魔厨,冰怒魔杖
扪…自…	2	扪心自问,扪躬自劾
伏…帖…	2	伏伏帖帖,伏首帖耳
攀…揽…	2	攀今揽古,攀藤揽葛
挑…料…	2	挑唇料嘴,挑牙料唇
饰…矫…	2	饰情矫行,饰词矫情
成…累…	2	成千累万,成年累月
养…畜…	2	养痈畜疽,养精畜锐
浮…流…	2	浮称流说,浮翠流丹
穷…泼…	2	穷亲泼故,穷身泼命
百…归…	2	百川归海,百年归寿
基…资…	2	基本资料,基金资助
名…解…	2	名花解语,名词解释
饿…之…	2	饿狼之口,饿虎之蹊
制…教…	2	制作教程,制式教练
声…并…	2	声情并茂,声色并厉
内…转…	2	内码转换,内部转发
北…海…	2	北京海淀,北洋海军
以…服…	2	以宽服民,以渴服马
光…镜…	2	光学镜片,光盘镜像
妥…帖…	2	妥妥帖帖,妥首帖耳
一…清…	2	一泓清水,一身清白
破…不…	2	破甑不顾,破丢不答
齐…大…	2	齐天大圣,齐鲁大地
片…之…	2	片刻之欢,片席之地
栉…沐…	2	栉霜沐露,栉风沐雨
尼…拉…	2	尼加拉瓜,尼古拉斯
发…有…	2	发奋有为,发展有限
楚…湘…	2	楚云湘雨,楚葛湘纱
暗…护…	2	暗月护符,暗纹护肩
兼…重…	2	兼官重绂,兼朱重紫
蚁…之…	2	蚁聚之兵,蚁鼻之缺
远…深…	2	远引深潜,远谋深算
彻…未…	2	彻夜未眠,彻桑未雨
舞…歌…	2	舞鸾歌凤,舞燕歌莺
的…确…	2	的一确二,的的确确
怨…满…	2	怨声满道,怨气满腹
循…习…	2	循常习故,循诵习传
雷…克…	2	雷瓦克安,雷缪克斯
断…继…	2	断断继继,断鹤继凫
以…投…	2	以胶投漆,以蚓投鱼
寸…铢…	2	寸积铢累,寸累铢积
疾…迅…	2	疾雷迅电,疾风迅雷
油…滑…	2	油腔滑调,油嘴滑舌
纳…帕…	2	纳尔帕克,纳特帕格
千…竞…	2	千岩竞秀,千帆竞发
如…重…	2	如获重宝,如释重负
王…风…	2	王者风范,王谢风流
腹…相…	2	腹心相照,腹背相亲
败…成…	2	败寇成王,败笔成丘
玄…玉…	2	玄妙玉女,玄甲玉片
屈…求…	2	屈膝求和,屈蠖求伸
礼…亲…	2	礼不亲授,礼士亲贤
百…大…	2	百货大楼,百事大吉
温…希…	2	温娜希雅,温诺希斯
万…公…	2	万世公论,万乘公相
醉…頽…	2	醉山頽倒,醉玉頽山
浮…沈…	2	浮瓜沈李,浮石沈木
涂…抹…	2	涂东抹西,涂脂抹粉
独…天…	2	独步天下,独角天狼
投…电…	2	投壶电笑,投诉电话
闭…电…	2	闭合电路,闭路电视
口…如…	2	口快如刀,口甜如蜜
小…在…	2	小心在意,小熊在线
华…大…	2	华侨大学,华夏大地
黑…战…	2	黑铁战斧,黑皮战靴
高…收…	2	高价收购,高校收费
尖…长…	2	尖石长斧,尖锐长矛
北…西…	2	北京西站,北大西洋
日…千…	2	日落千丈,日行千里
大…石…	2	大海石沉,大理石厂
衣…带…	2	衣宽带松,衣褒带博
砲…烹…	2	砲凤烹龙,砲龙烹凤
风…风…	2	风张风势,风言风语
用…其…	2	用违其长,用非其人
打…惊…	2	打草惊蛇,打鸭惊鸳
自…对…	2	自动对焦,自然对流
极…不…	2	极恶不赦,极重不反
欺…之…	2	欺君之罪,欺世之言
老…太…	2	老太太说,老祖太爷
反…还…	2	反本还原,反老还童
关…人…	2	关天人命,关键人物
专…专…	2	专款专用,专科专业
泾…渭…	2	泾浊渭清,泾清渭浊
身…名…	2	身显名扬,身死名辱
道…禅…	2	道书禅机,道键禅关
至…之…	2	至治之世,至诚之道
递…递…	2	递兴递废,递胜递负
灰…外…	2	灰丝外套,灰布外衣
谗…之…	2	谗佞之徒,谗慝之口
设…制…	2	设备制造,设计制作
道…称…	2	道寡称孤,道弟称兄
立…成…	2	立业成家,立地成佛
程…之…	2	程姬之疾,程朱之学
访…问…	2	访亲问友,访贫问苦
成…经…	2	成功经验,成长经历
又…一…	2	又弱一个,又生一秦
有…同…	2	有福同享,有难同当
赏…无…	2	赏罚无章,赏赐无度
屡…屡…	2	屡试屡验,屡败屡战
必…服…	2	必备服务,必须服从
五…八…	2	五花八门,五行八作
众…归…	2	众心归附,众流归海
人…政…	2	人亡政息,人存政举
费…劳…	2	费舌劳唇,费财劳民
穷…陋…	2	穷巷陋室,穷街陋巷
轻…之…	2	轻蔑之戒,轻重之短
不…违…	2	不得违误,不相违背
防…电…	2	防爆电器,防静电服
卑…足…	2	卑不足道,卑谄足恭
挦…扯…	2	挦章扯句,挦绵扯絮
回…无…	2	回味无穷,回天无力
东…主…	2	东园主章,东道主人
负…矜…	2	负地矜才,负材矜地
认…爲…	2	认影爲头,认贼爲子
逐…忘…	2	逐末忘本,逐流忘返
华…之…	2	华衮之赠,华封之祝
乡…难…	2	乡书难寄,乡土难离
游…无…	2	游谈无根,游骑无归
企…望…	2	企予望之,企而望归
业…于…	2	业精于勤,业荒于嬉
大…明…	2	大发明家,大牌明星
烟…行…	2	烟花行院,烟草行业
砥…励…	2	砥名励节,砥节励行
农…产…	2	农业产业,农副产品
曲…之…	2	曲为之防,曲肱之乐
怕…怕…	2	怕三怕四,怕痛怕痒
金…工…	2	金属工艺,金融工具
物…地…	2	物众地大,物理地址
先…分…	2	先行分页,先进分子
协…理…	2	协会理事,协处理器
吁…呼…	2	吁地呼天,吁天呼地
在…言…	2	在发言中,在商言商
龙…老…	2	龙图老子,龙钟老态
权…势…	2	权尊势重,权豪势要
火…刀…	2	火海刀山,火耨刀耕
疑…无…	2	疑事无功,疑行无成
中…制…	2	中国制造,中级制皮
广…南…	2	广东南海,广西南宁
挑…剔…	2	挑挑剔剔,挑毛剔刺
寝…之…	2	寝丘之志,寝席之戏
前…往…	2	前尘往事,前言往行
报…指…	2	报告指出,报考指南
夫…妻…	2	夫贵妻荣,夫负妻戴
数…冲…	2	数据冲突,数码冲印
性…内…	2	性感内衣,性格内向
保…内…	2	保暖内衣,保留内存
抟…作…	2	抟土作人,抟沙作饭
言…必…	2	言出必行,言多必失
以…敌…	2	以卵敌石,以寡敌众
下…链…	2	下行链路,下载链接
阿…哈…	2	阿塔哈卡,阿布哈兹
天…经…	2	天地经纬,天道经论
風…無…	2	風月無邊,風雨無阻
执…机…	2	执法机关,执行机构
发…意…	2	发生意外,发表意见
烟…雨…	2	烟霏雨散,烟条雨叶
可…下…	2	可以下载,可耻下场
交…运…	2	交互运作,交通运输
将…补…	2	将功补过,将勤补拙
当…时…	2	当今时代,当地时间
玄…双…	2	玄德双剑,玄钢双刀
圣…护…	2	圣使护符,圣兽护腿
身…命…	2	身亡命殒,身微命贱
一…文…	2	一篇文章,一号文件
道…知…	2	道头知尾,道远知骥
长…小…	2	长材小试,长篇小说
浓…淡…	2	浓妆淡抹,浓抹淡妆
黄…仙…	2	黄大仙区,黄鹤仙人
奥…里…	2	奥斯里安,奥玛里恩
自…于…	2	自投于地,自比于金
石…电…	2	石墨电极,石火电光
树…之…	2	树人之力,树种之环
猪…狗…	2	猪卑狗险,猪朋狗友
中…语…	2	中学语文,中间语言
人…消…	2	人均消费,人际消息
深…重…	2	深仇重怨,深惟重虑
丢…丢…	2	丢眉丢眼,丢魂丢魄
因…见…	2	因小见大,因难见巧
赌…发…	2	赌神发咒,赌咒发誓
口…目…	2	口沸目赤,口茄目瞠
不…文…	2	不立文字,不通文墨
短…少…	2	短吃少穿,短斤少两
依…傍…	2	依门傍户,依山傍水
虚…不…	2	虚弱不堪,虚而不淈
抬…动…	2	抬手动脚,抬脚动手
梦…生…	2	梦笔生花,梦魇生物
明…见…	2	明心见性,明理见道
恬…不…	2	恬然不耻,恬而不怪
维…尼…	2	维克尼斯,维兹尼克
遗…投…	2	遗大投艰,遗艰投大
民…时…	2	民和时丰,民国时期
乌…子…	2	乌有子虚,乌衣子弟
行…分…	2	行业分类,行情分析
对…当…	2	对酒当歌,对门当户
门…停…	2	门不停宾,门无停客
風…風…	2	風張風勢,風言風語
五…花…	2	五月花号,五色花子
公…分…	2	公安分局,公私分明
无…估…	2	无偏估计,无可估量
马…萨…	2	马克萨恩,马尔萨斯
金…花…	2	金枝花萼,金银花露
面…方…	2	面如方田,面授方略
马…前…	2	马失前蹄,马首前瞻
去…去…	2	去甚去泰,去头去尾
风…雾…	2	风言雾语,风鬟雾鬓
应…进…	2	应对进退,应用进程
克…苏…	2	克尔苏瓦,克罗苏斯
用…机…	2	用人机制,用尽机关
俾…作…	2	俾夜作昼,俾昼作夜
以…辨…	2	以盲辨色,以聋辨声
附…护…	2	附力护手,附魔护腕
威…不…	2	威武不屈,威而不猛
鼎…玉…	2	鼎力玉成,鼎铛玉石
积…渐…	2	积习渐靡,积里渐里
强…护…	2	强能护腿,强击护肩
倚…欺…	2	倚势欺人,倚大欺小
火…火…	2	火里火发,火焦火辣
蓄…待…	2	蓄势待发,蓄盈待竭
六…九…	2	六十九章,六街九陌
守…待…	2	守先待后,守株待兔
言…身…	2	言传身教,言教身传
死…生…	2	死别生离,死日生年
一…权…	2	一切权利,一时权宜
共…一…	2	共侍一夫,共用一个
横…竪…	2	横拖竪拉,横说竪说
当…对…	2	当头对面,当门对户
火…时…	2	火星时代,火车时刻
茶…酒…	2	茶余酒后,茶楼酒肆
外…生…	2	外拆生意,外星生命
地…力…	2	地丑力敌,地质力学
瞻…顾…	2	瞻前顾后,瞻情顾意
沉…之…	2	沉默之牙,沉沦之羽
冰…水…	2	冰清水冷,冰蹄水井
吉…迪…	2	吉拉迪诺,吉蓝迪斯
万…无…	2	万里无云,万般无奈
从…就…	2	从俗就简,从容就义
只…不…	2	只字不提,只说不做
忧…忧…	2	忧国忧民,忧民忧国
世…日…	2	世界日报,世道日衰
在…眼…	2	在你眼中,在我眼前
以…知…	2	以一知万,以近知远
削…適…	2	削足適履,削趾適屦
高…显…	2	高官显爵,高爵显位
切…实…	2	切切实实,切合实际
求…责…	2	求全责备,求名责实
王…公…	2	王孙公子,王荆公体
今…之…	2	今尔之去,今昔之感
就…论…	2	就事论事,就实论虚
人…平…	2	人人平等,人马平安
卡…里…	2	卡德里斯,卡特里娜
牵…扯…	2	牵三扯四,牵牵扯扯
满…怒…	2	满腔怒火,满面怒容
历…不…	2	历久不衰,历代不一
忘…失…	2	忘恩失义,忘餐失寝
饮…栖…	2	饮水栖衡,饮谷栖丘
信…护…	2	信仰护腿,信使护符
闪…之…	2	闪避之靴,闪光之鞋
呆…呆…	2	呆头呆脑,呆脑呆头
因…施…	2	因时施宜,因材施教
石…大…	2	石拳大厅,石油大学
福…心…	2	福由心造,福至心灵
吹…拍…	2	吹吹拍拍,吹牛拍马
电…总…	2	电源总线,电视总局
多…无…	2	多疑无决,多计无断
十…所…	2	十手所指,十目所视
十…争…	2	十手争指,十鼠争穴
穷…究…	2	穷原究委,穷根究底
敌…我…	2	敌众我寡,敌变我变
惹…拈…	2	惹花拈草,惹草拈花
闪…护…	2	闪电护盾,闪避护符
杀…儆…	2	杀一儆百,杀鸡儆猴
运…成…	2	运斤成风,运营成本
上…无…	2	上下无常,上天无路
解…之…	2	解决之道,解构之言
一…几…	2	一恸几绝,一石几钟
炊…爨…	2	炊金爨玉,炊骨爨骸
每…逐…	2	每日逐期,每朝逐日
三…太…	2	三保太监,三风太守
不…规…	2	不中规狷,不以规矩
通…共…	2	通忧共患,通无共有
不…因…	2	不利因素,不是因为
消…支…	2	消费支出,消防支队
精…指…	2	精神指引,精简指令
捶…拍…	2	捶床拍枕,捶胸拍臆
高…博…	2	高冠博带,高才博学
夹…夹…	2	夹七夹八,夹叙夹议
王…卢…	2	王后卢前,王杨卢骆
挈…提…	2	挈榼提壶,挈领提纲
蓬…散…	2	蓬头散发,蓬首散带
诚…正…	2	诚心正意,诚意正心
拥…清…	2	拥彗清道,拥篲清尘
中…机…	2	中断机制,中直机关
胆…气…	2	胆壮气粗,胆粗气壮
图…大…	2	图书大厦,图片大小
安…心…	2	安安心心,安抚心灵
无…火…	2	无烟火药,无香火情
吃…在…	2	吃自在饭,吃苦在先
江…南…	2	江苏南京,江西南昌
割…断…	2	割席断交,割恩断义
忐…忑…	2	忐上忑下,忐忐忑忑
离…辨…	2	离经辨志,离言辨白
特…克…	2	特拉克根,特里克希
豪…巨…	2	豪商巨贾,豪门巨室
素…银…	2	素波银涛,素绠银瓶
我…现…	2	我们现在,我国现行
武…专…	2	武器专家,武断专横
説…话…	2	説来话长,説长话短
绳…之…	2	绳橛之戏,绳墨之言
蛇…鼠…	2	蛇行鼠步,蛇入鼠出
结…之…	2	结束之后,结草之固
